name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Kareem Abdul-Jabbar,CENTER,38,LOS ANGELES LAKERS,79,79,2629,755,1338,0,2,336,439,133,345,280,67,130,203,248,1846
Alvan Adams,CENTER,31,PHOENIX SUNS,78,45,2005,341,679,0,2,159,203,148,329,324,103,46,206,272,841
Michael Adams,POINT GUARD,23,SACRAMENTO KINGS,18,0,139,16,44,0,3,8,12,2,4,22,9,1,11,9,40
Mark Aguirre,SMALL FORWARD,26,DALLAS MAVERICKS,74,73,2501,668,1327,16,56,318,451,177,268,339,62,14,252,229,1670
Danny Ainge,SHOOTING GUARD,26,BOSTON CELTICS,80,78,2407,353,701,26,73,123,136,47,188,405,94,7,129,204,855
Ron Anderson,SMALL FORWARD,27,CLEVELAND CAVALIERS,17,3,207,37,74,0,1,12,16,5,21,8,1,0,6,20,86
Ron Anderson,SMALL FORWARD,27,INDIANA PACERS,60,27,1469,273,554,2,8,73,111,125,123,136,55,6,76,105,621
John Bagley,POINT GUARD,25,CLEVELAND CAVALIERS,78,77,2472,366,865,9,37,170,215,76,199,735,122,10,239,165,911
James Bailey,POWER FORWARD,28,NEW YORK KNICKS,48,36,1245,202,443,0,4,129,167,102,232,50,33,40,99,207,533
Thurl Bailey,POWER FORWARD,24,UTAH JAZZ,82,13,2358,483,1077,0,7,230,277,148,345,153,42,114,144,160,1196
Greg Ballard,SMALL FORWARD,31,GOLDEN STATE WARRIORS,75,14,1792,272,570,17,35,101,126,132,285,83,65,8,54,174,662
Gene Banks,SMALL FORWARD,26,CHICAGO BULLS,82,33,2139,356,688,0,19,183,255,178,182,251,81,10,139,212,895
Ken Bannister,POWER FORWARD,25,NEW YORK KNICKS,70,15,1405,235,479,0,1,131,249,89,233,42,42,24,129,208,601
Charles Barkley,POWER FORWARD,22,PHILADELPHIA 76ERS,80,80,2952,595,1041,17,75,396,578,354,672,312,173,125,350,333,1603
John Battle,SHOOTING GUARD,23,ATLANTA HAWKS,64,0,639,101,222,0,7,75,103,12,50,74,23,3,47,80,277
Benoit Benjamin,CENTER,21,LOS ANGELES CLIPPERS,79,37,2088,324,661,1,3,229,307,161,439,79,64,206,145,286,878
Kent Benson,CENTER,31,DETROIT PISTONS,72,51,1344,201,415,1,2,66,83,118,258,80,58,51,58,196,469
Larry Bird,SMALL FORWARD,29,BOSTON CELTICS,82,81,3113,796,1606,82,194,441,492,190,615,557,166,51,266,182,2115
Otis Birdsong,SHOOTING GUARD,30,NEW JERSEY NETS,77,74,2395,542,1056,8,22,122,210,88,114,261,85,17,179,228,1214
Uwe Blab,CENTER,23,DALLAS MAVERICKS,48,0,409,44,94,0,0,36,67,25,66,17,3,12,28,65,124
Rolando Blackman,SHOOTING GUARD,26,DALLAS MAVERICKS,82,81,2787,677,1318,4,29,404,483,88,203,271,79,25,189,138,1762
Manute Bol,CENTER,23,WASHINGTON BULLETS,80,60,2090,128,278,0,1,42,86,123,354,23,28,397,65,255,298
Sam Bowie,CENTER,24,PORTLAND TRAIL BLAZERS,38,34,1132,167,345,0,0,114,161,93,234,99,21,96,88,142,448
Dudley Bradley,SHOOTING GUARD,28,WASHINGTON BULLETS,70,7,842,73,209,17,68,32,56,24,71,107,85,3,44,101,195
Mike Bratz,POINT GUARD,30,SACRAMENTO KINGS,33,0,269,26,70,4,14,14,18,2,21,39,13,0,17,43,70
Randy Breuer,CENTER,25,MILWAUKEE BUCKS,82,63,1792,272,570,0,1,141,198,159,299,114,50,116,122,214,685
Ron Brewer,SHOOTING GUARD,30,CHICAGO BULLS,4,0,18,3,9,0,0,1,1,0,0,0,0,0,2,1,7
Ron Brewer,SHOOTING GUARD,30,CLEVELAND CAVALIERS,40,3,552,83,215,5,17,33,37,14,39,40,17,6,21,43,204
Frank Brickowski,CENTER,26,SEATTLE SUPERSONICS,40,2,311,30,58,0,0,18,27,16,38,21,11,7,23,74,78
Junior Bridgeman,SMALL FORWARD,32,LOS ANGELES CLIPPERS,58,14,1161,199,451,6,18,106,119,29,94,108,31,8,68,81,510
Mike Brittain,CENTER,22,SAN ANTONIO SPURS,32,2,219,22,43,0,0,10,19,10,39,5,3,12,20,54,54
Tony Brown,SHOOTING GUARD,25,CHICAGO BULLS,10,0,132,18,41,0,2,9,13,5,11,14,5,1,4,16,45
Wallace Bryant,CENTER,26,DALLAS MAVERICKS,9,8,154,11,30,0,0,6,11,9,24,11,3,2,7,26,28
Wallace Bryant,CENTER,26,LOS ANGELES CLIPPERS,8,0,64,4,18,0,0,5,8,8,12,4,2,3,2,12,13
Quinn Buckner,POINT GUARD,31,INDIANA PACERS,32,3,419,49,104,0,1,19,27,9,42,86,40,3,55,80,117
Michael Cage,POWER FORWARD,24,LOS ANGELES CLIPPERS,78,12,1566,204,426,0,3,113,174,168,249,81,62,34,106,176,521
Tony Campbell,SMALL FORWARD,23,DETROIT PISTONS,82,1,1292,294,608,2,9,58,73,83,153,45,62,7,86,164,648
Rick Carlisle,SHOOTING GUARD,26,BOSTON CELTICS,77,1,760,92,189,0,10,15,23,22,55,104,19,4,50,92,199
Antoine Carr,POWER FORWARD,24,ATLANTA HAWKS,17,0,258,49,93,0,0,18,27,16,36,14,7,15,14,51,116
Kenny Carr,POWER FORWARD,30,PORTLAND TRAIL BLAZERS,55,31,1557,232,466,0,4,149,217,146,346,70,38,30,106,203,613
Joe Barry Carroll,CENTER,27,GOLDEN STATE WARRIORS,79,79,2801,650,1404,0,2,377,501,193,477,176,101,143,275,277,1677
Butch Carter,SHOOTING GUARD,27,NEW YORK KNICKS,5,0,31,2,8,0,1,1,1,2,1,3,1,0,6,6,5
Butch Carter,SHOOTING GUARD,27,PHILADELPHIA 76ERS,4,0,36,5,16,0,0,5,6,0,1,1,0,0,1,8,15
Bill Cartwright,CENTER,28,NEW YORK KNICKS,2,0,36,3,7,0,0,6,10,2,8,5,1,1,6,6,12
Terry Catledge,POWER FORWARD,22,PHILADELPHIA 76ERS,64,7,1092,202,431,0,4,90,139,107,165,21,31,8,69,127,494
Bobby Cattage,POWER FORWARD,27,NEW JERSEY NETS,29,1,185,28,83,1,5,35,44,15,19,4,6,0,13,23,92
Tom Chambers,POWER FORWARD,26,SEATTLE SUPERSONICS,66,26,2019,432,928,13,48,346,414,126,305,132,55,37,194,248,1223
Lorenzo Charles,SMALL FORWARD,22,ATLANTA HAWKS,36,0,273,49,88,0,0,24,36,13,26,8,2,6,18,37,122
Maurice Cheeks,POINT GUARD,29,PHILADELPHIA 76ERS,82,82,3270,490,913,4,17,282,335,55,180,753,207,27,238,160,1266
Fred Cofield,POINT GUARD,24,NEW YORK KNICKS,45,1,469,75,184,3,15,12,20,6,40,82,20,3,49,65,165
Steve Colter,POINT GUARD,23,PORTLAND TRAIL BLAZERS,81,51,1868,272,597,27,83,135,164,41,136,257,113,10,115,188,706
Lester Conner,POINT GUARD,26,GOLDEN STATE WARRIORS,36,0,413,51,136,2,7,40,54,25,37,43,24,1,15,23,144
Darwin Cook,POINT GUARD,27,NEW JERSEY NETS,79,33,1965,267,627,11,53,84,111,51,126,390,156,22,132,172,629
Jeff Cook,POWER FORWARD,29,SAN ANTONIO SPURS,34,0,356,28,67,0,1,26,41,31,50,21,13,11,11,64,82
Jeff Cook,POWER FORWARD,29,UTAH JAZZ,2,0,17,3,6,0,0,1,1,2,3,0,0,0,3,1,7
